Usecase,Blueprint,Component
Automated Content Creation,RAG,Retrieval
Automated Content Creation,RAG,LLM Inference
Automated Content Creation,RAG,Guardrails
Automated Content Creation,Embedding Service,Tokenizer
Automated Content Creation,Embedding Service,Embedding Model
Automated Content Creation,Embedding Service,Vector Store
Automated Content Creation,Evaluation Suite,Test Harness
Automated Content Creation,Evaluation Suite,Metric Calculator
Automated Content Creation,Guardrails,Policy Engine
Automated Content Creation,Guardrails,Filter Engine
Automated Content Creation,Ingest/Data Prep,ETL Pipeline
Automated Content Creation,Ingest/Data Prep,Preprocessor
Automated Content Creation,LLM Inference,Model Loader
Automated Content Creation,LLM Inference,Inference Engine
Automated Content Creation,Memory System,Session Cache
Automated Content Creation,Memory System,State Tracker
Automated Content Creation,Monitoring/Observ.,Telemetry Collector
Automated Content Creation,Monitoring/Observ.,Alert Engine
Automated Content Creation,Orchestration,Workflow Engine
Automated Content Creation,Orchestration,Scheduler
Automated Content Creation,Prompt Engine,Prompt Builder
Automated Content Creation,Prompt Engine,Template Store
Automated Content Creation,Retrieval/Ranking,Retriever
Automated Content Creation,Retrieval/Ranking,Ranker
Automated Content Creation,Vector Store,Vector Index
Automated Content Creation,Vector Store,ANN Search
Automated Content Creation,Summarization,LLM Inference
Automated Content Creation,Summarization,Summarizer
Chatbots & Virtual Assistants,Agent-Based Chat,Agent Core
Chatbots & Virtual Assistants,Agent-Based Chat,Dialogue Manager
Chatbots & Virtual Assistants,Guardrails,Policy Engine
Chatbots & Virtual Assistants,Guardrails,Filter Engine
Chatbots & Virtual Assistants,LLM Inference,Model Loader
Chatbots & Virtual Assistants,LLM Inference,Inference Engine
Chatbots & Virtual Assistants,Memory System,Session Cache
Chatbots & Virtual Assistants,Memory System,State Tracker
Chatbots & Virtual Assistants,Orchestration,Workflow Engine
Chatbots & Virtual Assistants,Orchestration,Scheduler
Chatbots & Virtual Assistants,Prompt Engine,Prompt Builder
Chatbots & Virtual Assistants,Prompt Engine,Template Store
Chatbots & Virtual Assistants,Retrieval/Ranking,Retriever
Chatbots & Virtual Assistants,Retrieval/Ranking,Ranker
Chatbots & Virtual Assistants,RAG,Retrieval
Chatbots & Virtual Assistants,RAG,LLM Inference
Chatbots & Virtual Assistants,RAG,Guardrails
Chatbots & Virtual Assistants,Embedding Service,Tokenizer
Chatbots & Virtual Assistants,Embedding Service,Embedding Model
Chatbots & Virtual Assistants,Embedding Service,Vector Store
Chatbots & Virtual Assistants,Evaluation Suite,Test Harness
Chatbots & Virtual Assistants,Evaluation Suite,Metric Calculator
Chatbots & Virtual Assistants,Monitoring/Observ.,Telemetry Collector
Chatbots & Virtual Assistants,Monitoring/Observ.,Alert Engine
Chatbots & Virtual Assistants,Vector Store,Vector Index
Chatbots & Virtual Assistants,Vector Store,ANN Search
Code Generation & Debugging,Copilot/CodeGen,Code Generator
Code Generation & Debugging,Copilot/CodeGen,Syntax Validator
Code Generation & Debugging,Guardrails,Policy Engine
Code Generation & Debugging,Guardrails,Filter Engine
Code Generation & Debugging,LLM Inference,Model Loader
Code Generation & Debugging,LLM Inference,Inference Engine
Code Generation & Debugging,Prompt Engine,Prompt Builder
Code Generation & Debugging,Prompt Engine,Template Store
Code Generation & Debugging,Retrieval/Ranking,Retriever
Code Generation & Debugging,Retrieval/Ranking,Ranker
Data Summarization & Reporting,RAG,Retrieval
Data Summarization & Reporting,RAG,LLM Inference
Data Summarization & Reporting,RAG,Guardrails
Data Summarization & Reporting,Embedding Service,Tokenizer
Data Summarization & Reporting,Embedding Service,Embedding Model
Data Summarization & Reporting,Embedding Service,Vector Store
Data Summarization & Reporting,Evaluation Suite,Test Harness
Data Summarization & Reporting,Evaluation Suite,Metric Calculator
Data Summarization & Reporting,Guardrails,Policy Engine
Data Summarization & Reporting,Guardrails,Filter Engine
Data Summarization & Reporting,Ingest/Data Prep,ETL Pipeline
Data Summarization & Reporting,Ingest/Data Prep,Preprocessor
